drug1;drug2
phenelzine;meperidine
phenelzine;mephentermine
phenelzine;metaraminol
phenelzine;methamphetamine
phenelzine;methotrimeprazine
phenelzine;methoxamine
phenelzine;methylphenidate
phenelzine;midodrine
phenelzine;mirtazapine
phenelzine;naratriptan
phenelzine;nefazodone
phenelzine;norepinephrine
phenelzine;nortriptyline
phenelzine;orciprenaline
phenelzine;paroxetine
phenelzine;phendimetrazine
phenelzine;phentermine
phenelzine;phenylephrine
phenelzine;phenylpropanolamine
phenelzine;pirbuterol
phenelzine;procaterol
phenelzine;protriptyline
phenelzine;pseudoephedrine
phenelzine;rivastigmine
phenelzine;rizatriptan
phenelzine;salbutamol
phenelzine;sertraline
phenelzine;sibutramine
phenelzine;sumatriptan
phenelzine;tacrine
phenelzine;terbutaline
phenelzine;tetrabenazine
phenelzine;tolcapone
phenelzine;tramadol
phenelzine;tranylcypromine
phenelzine;trazodone
phenelzine;trimethobenzamide
phenelzine;trimipramine
phenelzine;triprolidine
phenelzine;trospium
phenelzine;tryptophanyl-5'amp
phenelzine;venlafaxine
phenelzine;vilazodone
phenelzine;zolmitriptan
sulfinpyrazone;cyclosporine
sulfinpyrazone;tolbutamide
sulfinpyrazone;warfarin
cocaine;atomoxetine
cocaine;disulfiram
cocaine;iloperidone
cocaine;tamoxifen
cocaine;tamsulosin
cocaine;telithromycin
cocaine;tetrabenazine
cocaine;tolterodine
cocaine;tramadol
cocaine;trimipramine
cocaine;venlafaxine
cocaine;voriconazole
cocaine;zuclopenthixol
methicillin_acyl-serine;methotrexate
methicillin_acyl-serine;minocycline
methicillin_acyl-serine;tetracycline
trazodone;almotriptan
trazodone;aminoglutethimide
trazodone;amiodarone
trazodone;amitriptyline
trazodone;amoxapine
trazodone;amprenavir
trazodone;aprepitant
trazodone;atazanavir
trazodone;bosentan
trazodone;bromocriptine
trazodone;buspirone
trazodone;cabergoline
trazodone;carbamazepine
trazodone;cimetidine
trazodone;citalopram
trazodone;clarithromycin
trazodone;clomipramine
trazodone;clotrimazole
trazodone;conivaptan
trazodone;cyclosporine
trazodone;dabigatran_etexilate
trazodone;darunavir
trazodone;delavirdine
trazodone;desipramine
trazodone;desvenlafaxine
trazodone;dexamethasone
trazodone;dextromethorphan
trazodone;dihydroergotamine
trazodone;diltiazem
trazodone;donepezil
trazodone;doxepin
trazodone;duloxetine
trazodone;efavirenz
trazodone;eletriptan
trazodone;ergoloid_mesylate
trazodone;ergonovine
trazodone;ergotamine
trazodone;erythromycin
trazodone;escitalopram
trazodone;etravirine
trazodone;fluconazole
trazodone;fluoxetine
trazodone;fluvoxamine
trazodone;fosamprenavir
trazodone;fosphenytoin
trazodone;frovatriptan
trazodone;furazolidone
trazodone;galantamine
trazodone;ginkgo_biloba
trazodone;haloperidol
trazodone;imatinib
trazodone;imipramine
trazodone;indinavir
trazodone;isocarboxazid
trazodone;isoniazid
trazodone;itraconazole
trazodone;ketoconazole
trazodone;lapatinib
trazodone;lidocaine
trazodone;linezolid
trazodone;lithium
trazodone;lopinavir
trazodone;maprotiline
trazodone;meperidine
trazodone;methylergonovine
trazodone;metronidazole
trazodone;miconazole
trazodone;mirtazapine
trazodone;moclobemide
trazodone;nafcillin
trazodone;naratriptan
trazodone;nefazodone
trazodone;nelfinavir
trazodone;nevirapine
trazodone;nicardipine
trazodone;norfloxacin
trazodone;nortriptyline
trazodone;oxcarbazepine
trazodone;paroxetine
trazodone;pentobarbital
trazodone;pergolide
trazodone;phenelzine
trazodone;phenobarbital
trazodone;phenytoin
trazodone;posaconazole
trazodone;primidone
trazodone;procarbazine
trazodone;promethazine
trazodone;protriptyline
trazodone;quinidine
trazodone;rasagiline
trazodone;rifabutin
trazodone;rifampin
trazodone;rifapentine
trazodone;ritonavir
trazodone;rivastigmine
trazodone;rizatriptan
trazodone;s-adenosylmethionine
trazodone;saquinavir
trazodone;selegiline
trazodone;sertraline
trazodone;sibutramine
trazodone;sitaxentan
trazodone;st._john's_wort
trazodone;sumatriptan
trazodone;tamoxifen
trazodone;tamsulosin
trazodone;telithromycin
trazodone;tetracycline
trazodone;tipranavir
trazodone;tramadol
trazodone;tranylcypromine
trazodone;trimipramine
trazodone;triprolidine
trazodone;venlafaxine
trazodone;verapamil
trazodone;voriconazole
trazodone;zolmitriptan
meloxicam;acenocoumarol
meloxicam;anisindione
meloxicam;colesevelam
meloxicam;dicumarol
meloxicam;ginkgo_biloba
meloxicam;lithium
meloxicam;telmisartan
meloxicam;timolol
meloxicam;trandolapril
meloxicam;treprostinil
meloxicam;voriconazole
meloxicam;warfarin
propoxyphene;acenocoumarol
propoxyphene;anisindione
propoxyphene;atomoxetine
propoxyphene;carbamazepine
propoxyphene;cimetidine
propoxyphene;dicumarol
propoxyphene;ritonavir
propoxyphene;tranylcypromine
propoxyphene;triprolidine
propoxyphene;warfarin
perphenazine;amphetamine
perphenazine;atomoxetine
perphenazine;benzphetamine
perphenazine;bromocriptine
perphenazine;cisapride
perphenazine;dexfenfluramine
perphenazine;dextroamphetamine
perphenazine;diethylpropion
perphenazine;donepezil
perphenazine;fenfluramine
perphenazine;galantamine
perphenazine;gatifloxacin
perphenazine;grepafloxacin
perphenazine;guanethidine
perphenazine;levofloxacin
perphenazine;mazindol
perphenazine;methamphetamine
perphenazine;metrizamide
perphenazine;phendimetrazine
perphenazine;phenmetrazine
perphenazine;phentermine
perphenazine;phenylpropanolamine
perphenazine;rivastigmine
perphenazine;sparfloxacin
perphenazine;tacrine
perphenazine;terbinafine
perphenazine;terfenadine
perphenazine;tetrabenazine
perphenazine;trimethobenzamide
perphenazine;triprolidine
perphenazine;trospium
sulfacytine;chlorpropamide
sulfacytine;methotrexate
tenoxicam;acenocoumarol
tenoxicam;alendronate
tenoxicam;anisindione
tenoxicam;chlorthalidone
tenoxicam;cholestyramine
tenoxicam;cyclosporine
tenoxicam;dicumarol
tenoxicam;hydrochlorothiazide
tenoxicam;lithium
tenoxicam;methotrexate
tenoxicam;metolazone
tenoxicam;warfarin
losartan;amiloride
losartan;drospirenone
losartan;indomethacin
losartan;lithium
losartan;potassium
losartan;quinupristin
losartan;rifampin
losartan;spironolactone
losartan;tobramycin
losartan;tolbutamide
losartan;trandolapril
losartan;treprostinil
losartan;tretinoin
losartan;triamterene
trifluoperazine;amphetamine
trifluoperazine;benzphetamine
trifluoperazine;bromocriptine
trifluoperazine;cisapride
trifluoperazine;dexfenfluramine
trifluoperazine;dextroamphetamine
trifluoperazine;diethylpropion
trifluoperazine;donepezil
trifluoperazine;fenfluramine
trifluoperazine;galantamine
trifluoperazine;gatifloxacin
trifluoperazine;grepafloxacin
trifluoperazine;guanethidine
trifluoperazine;levofloxacin
trifluoperazine;mazindol
trifluoperazine;methamphetamine
trifluoperazine;metrizamide
trifluoperazine;phendimetrazine
trifluoperazine;phenmetrazine
trifluoperazine;phentermine
trifluoperazine;phenylpropanolamine
trifluoperazine;rivastigmine
trifluoperazine;sparfloxacin
trifluoperazine;tacrine
trifluoperazine;terfenadine
trifluoperazine;tetrabenazine
trifluoperazine;thiabendazole
trifluoperazine;trimethobenzamide
trifluoperazine;triprolidine
trifluoperazine;trospium
roxithromycin;cyclosporine
arsenic_trioxide;artemether
arsenic_trioxide;lumefantrine
arsenic_trioxide;quinupristin
arsenic_trioxide;tacrolimus
arsenic_trioxide;thiothixene
arsenic_trioxide;toremifene
arsenic_trioxide;trimipramine
arsenic_trioxide;voriconazole
arsenic_trioxide;vorinostat
arsenic_trioxide;ziprasidone
arsenic_trioxide;zuclopenthixol
fluvoxamine;acenocoumarol
fluvoxamine;almotriptan
fluvoxamine;aminophylline
fluvoxamine;amitriptyline
fluvoxamine;amoxapine
fluvoxamine;amphetamine
fluvoxamine;anisindione
fluvoxamine;astemizole
fluvoxamine;benzphetamine
fluvoxamine;carbamazepine
fluvoxamine;carisoprodol
fluvoxamine;cilostazol
fluvoxamine;clomipramine
fluvoxamine;clozapine
fluvoxamine;desipramine
fluvoxamine;desvenlafaxine
fluvoxamine;dexfenfluramine
fluvoxamine;dextroamphetamine
fluvoxamine;dicumarol
fluvoxamine;diethylpropion
fluvoxamine;dihydroergotamine
fluvoxamine;doxepin
fluvoxamine;duloxetine
fluvoxamine;dyphylline
fluvoxamine;eletriptan
fluvoxamine;ergotamine
fluvoxamine;ethotoin
fluvoxamine;fenfluramine
fluvoxamine;fosphenytoin
fluvoxamine;frovatriptan
fluvoxamine;ginkgo_biloba
fluvoxamine;imipramine
fluvoxamine;isocarboxazid
fluvoxamine;ketoprofen
fluvoxamine;linezolid
fluvoxamine;lithium
fluvoxamine;mazindol
fluvoxamine;mephenytoin
fluvoxamine;mesoridazine
fluvoxamine;methadone
fluvoxamine;methamphetamine
fluvoxamine;mexiletine
fluvoxamine;mirtazapine
fluvoxamine;moclobemide
fluvoxamine;naratriptan
fluvoxamine;nortriptyline
fluvoxamine;olanzapine
fluvoxamine;oxtriphylline
fluvoxamine;oxycodone
fluvoxamine;phendimetrazine
fluvoxamine;phenelzine
fluvoxamine;phentermine
fluvoxamine;phenylpropanolamine
fluvoxamine;phenytoin
fluvoxamine;protriptyline
fluvoxamine;ramelteon
fluvoxamine;rasagiline
fluvoxamine;rizatriptan
fluvoxamine;ropinirole
fluvoxamine;ropivacaine
fluvoxamine;selegiline
fluvoxamine;sibutramine
fluvoxamine;st._john's_wort
fluvoxamine;sumatriptan
fluvoxamine;tacrine
fluvoxamine;terbinafine
fluvoxamine;terfenadine
fluvoxamine;theophylline
fluvoxamine;thiabendazole
fluvoxamine;thioridazine
fluvoxamine;thiothixene
fluvoxamine;tiaprofenic_acid
fluvoxamine;tizanidine
fluvoxamine;tolmetin
fluvoxamine;tramadol
fluvoxamine;tranylcypromine
fluvoxamine;trazodone
fluvoxamine;treprostinil
fluvoxamine;trimipramine
fluvoxamine;triprolidine
fluvoxamine;venlafaxine
fluvoxamine;warfarin
fluvoxamine;zolmitriptan
gemfibrozil;acenocoumarol
gemfibrozil;anisindione
gemfibrozil;atorvastatin
gemfibrozil;bexarotene
gemfibrozil;carisoprodol
gemfibrozil;cerivastatin
gemfibrozil;dicumarol
gemfibrozil;fluvastatin
gemfibrozil;glimepiride
gemfibrozil;lovastatin
gemfibrozil;pioglitazone
gemfibrozil;pravastatin
gemfibrozil;repaglinide
gemfibrozil;rosiglitazone
gemfibrozil;rosuvastatin
gemfibrozil;simvastatin
gemfibrozil;tacrine
gemfibrozil;tamoxifen
gemfibrozil;tizanidine
gemfibrozil;tolbutamide
gemfibrozil;torasemide
gemfibrozil;tretinoin
gemfibrozil;trimethoprim
gemfibrozil;trimipramine
gemfibrozil;ursodeoxycholic_acid
gemfibrozil;voriconazole
gemfibrozil;warfarin
gemfibrozil;zafirlukast
methocarbamol;triprolidine
polythiazide;digoxin
polythiazide;lithium
polythiazide;trandolapril
polythiazide;treprostinil
pergolide;tamoxifen
pergolide;tamsulosin
pergolide;telithromycin
pergolide;thiothixene
pergolide;tipranavir
pergolide;tolterodine
pergolide;tramadol
pergolide;tranylcypromine
pergolide;trazodone
pergolide;trimipramine
pergolide;venlafaxine
pergolide;voriconazole
pergolide;ziprasidone
pergolide;zolmitriptan
pergolide;zuclopenthixol
sotalol;acetohexamide
sotalol;aminophylline
sotalol;artemether
sotalol;chlorpropamide
sotalol;cisapride
sotalol;clarithromycin
sotalol;clonidine
sotalol;dihydroergotamine
sotalol;disopyramide
sotalol;epinephrine
sotalol;ergotamine
sotalol;erythromycin
sotalol;fenoterol
sotalol;formoterol
sotalol;gatifloxacin
sotalol;gliclazide
sotalol;glyburide
sotalol;grepafloxacin
sotalol;ibuprofen
sotalol;indomethacin
sotalol;insulin
sotalol;insulin_glargine
sotalol;levofloxacin
sotalol;lumefantrine
sotalol;mesoridazine
sotalol;methyldopa
sotalol;methysergide
sotalol;moxifloxacin
sotalol;orciprenaline
sotalol;oxtriphylline
sotalol;pipobroman
sotalol;piroxicam
sotalol;prazosin
sotalol;ranolazine
sotalol;repaglinide
sotalol;tacrolimus
sotalol;telithromycin
sotalol;terazosin
sotalol;terbutaline
sotalol;terfenadine
sotalol;theophylline
sotalol;thioridazine
sotalol;thiothixene
sotalol;toremifene
sotalol;treprostinil
sotalol;trimipramine
sotalol;voriconazole
sotalol;vorinostat
sotalol;ziprasidone
sotalol;zuclopenthixol
olanzapine;donepezil
olanzapine;fluvoxamine
olanzapine;galantamine
olanzapine;ritonavir
olanzapine;rivastigmine
olanzapine;tacrine
olanzapine;tetrabenazine
olanzapine;trimethobenzamide
olanzapine;triprolidine
olanzapine;trospium
cinitapride;atropine
cinitapride;digoxin
cinitapride;digoxin_immune_fab
cinitapride;methylscopolamine
cinitapride;scopolamine
deserpidine;epinephrine
deserpidine;fenoterol
deserpidine;orciprenaline
deserpidine;phenylephrine
deserpidine;phenylpropanolamine
deserpidine;pseudoephedrine
deserpidine;terbutaline
rosuvastatin;colchicine
rosuvastatin;cyclosporine
rosuvastatin;fenofibrate
rosuvastatin;gemfibrozil
rosuvastatin;magnesium
rosuvastatin;tipranavir
benazepril;amiloride
benazepril;drospirenone
benazepril;lithium
benazepril;potassium
benazepril;spironolactone
benazepril;tizanidine
benazepril;tobramycin
benazepril;treprostinil
benazepril;triamterene
famotidine;atazanavir
famotidine;cefditoren
famotidine;enoxacin
famotidine;itraconazole
famotidine;ketoconazole
enoxaparin;drotrecogin_alfa
enoxaparin;ginkgo_biloba
enoxaparin;treprostinil
chlorpropamide;acebutolol
chlorpropamide;acetylsalicylic_acid
chlorpropamide;atenolol
chlorpropamide;betaxolol
chlorpropamide;bevantolol
chlorpropamide;bisoprolol
chlorpropamide;carteolol
chlorpropamide;carvedilol
chlorpropamide;chloramphenicol
chlorpropamide;clofibrate
chlorpropamide;diazoxide
chlorpropamide;dicumarol
chlorpropamide;esmolol
chlorpropamide;glucosamine
chlorpropamide;labetalol
chlorpropamide;metoprolol
chlorpropamide;nadolol
chlorpropamide;oxprenolol
chlorpropamide;penbutolol
chlorpropamide;phenylbutazone
chlorpropamide;pindolol
chlorpropamide;practolol
chlorpropamide;propranolol
chlorpropamide;rifampin
chlorpropamide;salsalate
chlorpropamide;somatropin_recombinant
chlorpropamide;sotalol
chlorpropamide;sulfacytine
chlorpropamide;sulfadiazine
chlorpropamide;sulfadoxine
chlorpropamide;sulfamerazine
chlorpropamide;sulfamethazine
chlorpropamide;sulfamethizole
chlorpropamide;sulfamethoxazole
chlorpropamide;sulfapyridine
chlorpropamide;sulfasalazine
chlorpropamide;sulfisoxazole
chlorpropamide;timolol
chlorpropamide;trisalicylate-choline
chlorpropamide;voriconazole
iohexol;amiodarone
guanethidine;acetophenazine
guanethidine;amitriptyline
guanethidine;amoxapine
guanethidine;amphetamine
guanethidine;benzphetamine
guanethidine;chlorpromazine
guanethidine;chlorprothixene
guanethidine;clomipramine
guanethidine;desipramine
guanethidine;dexfenfluramine
guanethidine;dextroamphetamine
guanethidine;diethylpropion
guanethidine;dobutamine
guanethidine;dopamine
guanethidine;doxepin
guanethidine;ephedra
guanethidine;ephedrine
guanethidine;epinephrine
guanethidine;ethopropazine
guanethidine;fenfluramine
guanethidine;fluphenazine
guanethidine;haloperidol
guanethidine;imipramine
guanethidine;isocarboxazid
guanethidine;mazindol
guanethidine;mesoridazine
guanethidine;metaraminol
guanethidine;methamphetamine
guanethidine;methdilazine
guanethidine;methotrimeprazine
guanethidine;methoxamine
guanethidine;methylphenidate
guanethidine;norepinephrine
guanethidine;nortriptyline
guanethidine;pargyline
guanethidine;perphenazine
guanethidine;phendimetrazine
guanethidine;phenelzine
guanethidine;phenmetrazine
guanethidine;phentermine
guanethidine;phenylephrine
guanethidine;phenylpropanolamine
guanethidine;prochlorperazine
guanethidine;promazine
guanethidine;promethazine
guanethidine;propericiazine
guanethidine;propiomazine
guanethidine;protriptyline
guanethidine;pseudoephedrine
guanethidine;thiethylperazine
guanethidine;thioridazine
guanethidine;thiothixene
guanethidine;tranylcypromine
guanethidine;trifluoperazine
guanethidine;triflupromazine
guanethidine;trimeprazine
guanethidine;trimipramine
chlorpheniramine;donepezil
chlorpheniramine;ethotoin
chlorpheniramine;fosphenytoin
chlorpheniramine;galantamine
chlorpheniramine;mephenytoin
chlorpheniramine;phenytoin
chlorpheniramine;rivastigmine
chlorpheniramine;tacrine
chlorpheniramine;telithromycin
chlorpheniramine;trimethobenzamide
chlorpheniramine;triprolidine
chlorpheniramine;trospium
chlorpheniramine;voriconazole
phenytoin;acenocoumarol
phenytoin;alprazolam
phenytoin;aminophylline
phenytoin;amiodarone
phenytoin;anisindione
phenytoin;aprepitant
phenytoin;atracurium
phenytoin;betamethasone
phenytoin;bleomycin
phenytoin;capecitabine
phenytoin;carboplatin
phenytoin;carmustine
phenytoin;chloramphenicol
phenytoin;chlordiazepoxide
phenytoin;chlorotrianisene
phenytoin;chlorpheniramine
phenytoin;cimetidine
phenytoin;ciprofloxacin
phenytoin;cisplatin
phenytoin;clarithromycin
phenytoin;clomifene
phenytoin;clorazepate
phenytoin;clozapine
phenytoin;colesevelam
phenytoin;conjugated_estrogens
phenytoin;cortisone_acetate
phenytoin;cyclosporine
phenytoin;dasatinib
phenytoin;delavirdine
phenytoin;dexamethasone
phenytoin;diazepam
phenytoin;diazoxide
phenytoin;dicumarol
phenytoin;diethylstilbestrol
phenytoin;disopyramide
phenytoin;disulfiram
phenytoin;divalproex_sodium
phenytoin;dopamine
phenytoin;doxacurium_chloride
phenytoin;doxycycline
phenytoin;dyphylline
phenytoin;estradiol
phenytoin;estriol
phenytoin;estrone
phenytoin;estropipate
phenytoin;ethinyl_estradiol
phenytoin;felbamate
phenytoin;felodipine
phenytoin;fluconazole
phenytoin;fludrocortisone
phenytoin;fluorouracil
phenytoin;fluoxetine
phenytoin;flurazepam
phenytoin;fluvoxamine
phenytoin;folic_acid
phenytoin;furosemide
phenytoin;gabapentin
phenytoin;gefitinib
phenytoin;hydrocortisone
phenytoin;imatinib
phenytoin;irinotecan
phenytoin;isoniazid
phenytoin;itraconazole
phenytoin;lamotrigine
phenytoin;levodopa
phenytoin;levonorgestrel
phenytoin;lopinavir
phenytoin;mebendazole
phenytoin;medroxyprogesterone
phenytoin;megestrol
phenytoin;mestranol
phenytoin;methadone
phenytoin;methotrexate
phenytoin;methoxsalen
phenytoin;methylprednisolone
phenytoin;metocurine
phenytoin;metyrapone
phenytoin;mexiletine
phenytoin;midazolam
phenytoin;mirtazapine
phenytoin;mivacurium
phenytoin;nisoldipine
phenytoin;norethindrone
phenytoin;omeprazole
phenytoin;oxcarbazepine
phenytoin;oxtriphylline
phenytoin;oxyphenbutazone
phenytoin;pancuronium
phenytoin;paramethasone
phenytoin;phenylbutazone
phenytoin;posaconazole
phenytoin;praziquantel
phenytoin;prednisolone
phenytoin;prednisone
phenytoin;quetiapine
phenytoin;quinestrol
phenytoin;quinidine
phenytoin;rifampin
phenytoin;sertraline
phenytoin;sirolimus
phenytoin;sucralfate
phenytoin;sulfadiazine
phenytoin;sulfamethizole
phenytoin;sunitinib
phenytoin;tacrolimus
phenytoin;telithromycin
phenytoin;temsirolimus
phenytoin;theophylline
phenytoin;thiotepa
phenytoin;ticlopidine
phenytoin;tipranavir
phenytoin;tobramycin
phenytoin;tolbutamide
phenytoin;topiramate
phenytoin;tramadol
phenytoin;trazodone
phenytoin;tretinoin
phenytoin;triamcinolone
phenytoin;triazolam
phenytoin;trimethoprim
phenytoin;trioxsalen
phenytoin;triprolidine
phenytoin;tubocurarine
phenytoin;vecuronium
phenytoin;verapamil
phenytoin;vigabatrin
phenytoin;vinblastine
phenytoin;voriconazole
phenytoin;warfarin
colistimethate;amikacin
colistimethate;amphotericin_b
colistimethate;atracurium
colistimethate;cisatracurium_besylate
colistimethate;gentamicin
colistimethate;kanamycin
colistimethate;neomycin
colistimethate;pancuronium
colistimethate;rocuronium
colistimethate;streptomycin
colistimethate;tobramycin
colistimethate;vancomycin
colistimethate;vecuronium
calcium;alendronate
calcium;amprenavir
calcium;atazanavir
calcium;chloroquine
calcium;ciprofloxacin
calcium;clodronate
calcium;dapsone
calcium;delavirdine
calcium;demeclocycline
calcium;doxycycline
calcium;enoxacin
calcium;etidronic_acid
calcium;fosamprenavir
calcium;grepafloxacin
calcium;ibandronate
calcium;indinavir
calcium;itraconazole
calcium;ketoconazole
calcium;levofloxacin
calcium;levothyroxine
calcium;lomefloxacin
calcium;methacycline
calcium;minocycline
calcium;moxifloxacin
calcium;mycophenolate_mofetil
calcium;norfloxacin
calcium;ofloxacin
calcium;oxytetracycline
calcium;pefloxacin
calcium;polystyrene_sulfonate
calcium;risedronate
calcium;temafloxacin
calcium;tetracycline
calcium;trovafloxacin
gadobutrol;artemether
gadobutrol;lumefantrine
mezlocillin;demeclocycline
mezlocillin;doxycycline
mezlocillin;ethinyl_estradiol
mezlocillin;methotrexate
mezlocillin;minocycline
mezlocillin;tetracycline
floxuridine;tamoxifen
floxuridine;tolbutamide
floxuridine;torasemide
floxuridine;trastuzumab
floxuridine;trimethoprim
floxuridine;voriconazole
floxuridine;warfarin
floxuridine;zafirlukast
heptabarbital;aminophylline
heptabarbital;betamethasone
heptabarbital;clomifene
heptabarbital;conjugated_estrogens
heptabarbital;cyclosporine
heptabarbital;dexamethasone
heptabarbital;diethylstilbestrol
heptabarbital;divalproex_sodium
heptabarbital;doxycycline
heptabarbital;estradiol
heptabarbital;ethinyl_estradiol
heptabarbital;felodipine
heptabarbital;fludrocortisone
heptabarbital;folic_acid
heptabarbital;gefitinib
heptabarbital;griseofulvin
heptabarbital;hydrocortisone
heptabarbital;levonorgestrel
heptabarbital;medroxyprogesterone
heptabarbital;megestrol
heptabarbital;methadone
heptabarbital;metronidazole
heptabarbital;nifedipine
heptabarbital;norethindrone
heptabarbital;oxtriphylline
heptabarbital;prednisolone
heptabarbital;prednisone
heptabarbital;quinidine
heptabarbital;theophylline
heptabarbital;triamcinolone
lumefantrine;amiodarone
lumefantrine;amitriptyline
lumefantrine;amoxapine
lumefantrine;apomorphine
lumefantrine;arsenic_trioxide
lumefantrine;asenapine
lumefantrine;azithromycin
lumefantrine;bepridil
lumefantrine;chloroquine
lumefantrine;chlorpromazine
lumefantrine;cisapride
lumefantrine;citalopram
lumefantrine;dapsone
lumefantrine;doxepin
lumefantrine;dronedarone
lumefantrine;droperidol
lumefantrine;erythromycin
lumefantrine;escitalopram
lumefantrine;flecainide
lumefantrine;fluconazole
lumefantrine;fluoxetine
lumefantrine;flupenthixol
lumefantrine;foscarnet
lumefantrine;gadobutrol
lumefantrine;gadofosveset_trisodium
lumefantrine;halofantrine
lumefantrine;haloperidol
lumefantrine;hydroxychloroquine
lumefantrine;ibutilide
lumefantrine;iloperidone
lumefantrine;imipramine
lumefantrine;indapamide
lumefantrine;isradipine
lumefantrine;lapatinib
lumefantrine;levofloxacin
lumefantrine;loxapine
lumefantrine;maprotiline
lumefantrine;mefloquine
lumefantrine;mesoridazine
lumefantrine;methadone
lumefantrine;methotrimeprazine
lumefantrine;moxifloxacin
lumefantrine;nilotinib
lumefantrine;norfloxacin
lumefantrine;nortriptyline
lumefantrine;octreotide
lumefantrine;pazopanib
lumefantrine;pentamidine
lumefantrine;perflutren
lumefantrine;pimozide
lumefantrine;primaquine
lumefantrine;probucol
lumefantrine;procainamide
lumefantrine;proguanil
lumefantrine;propafenone
lumefantrine;protriptyline
lumefantrine;pyrimethamine
lumefantrine;quetiapine
lumefantrine;quinidine
lumefantrine;quinine
lumefantrine;ranolazine
lumefantrine;risperidone
lumefantrine;romidepsin
lumefantrine;sotalol
lumefantrine;sparfloxacin
lumefantrine;sunitinib
lumefantrine;tacrolimus
lumefantrine;tamoxifen
lumefantrine;telithromycin
lumefantrine;tetrabenazine
lumefantrine;thioridazine
lumefantrine;thiothixene
lumefantrine;toremifene
lumefantrine;trimipramine
lumefantrine;voriconazole
lumefantrine;vorinostat
lumefantrine;ziprasidone
lumefantrine;zuclopenthixol
lumefantrine;telavancin
